id,title2,release_year,imdb_id
101,Heavy Metal,1981,tt0082509
102,The Aristocats,1970,tt0065421
103,All Dogs Go to Heaven 2,1996,tt0115509
104,Theodore Rex,1995,tt0114658
105,Sgt. Bilko,1996,tt0117608
106,Diabolique,1996,tt0116095
107,Moll Flanders,1996,tt0117071
108,Kids in the Hall: Brain Candy,1996,tt0116768
109,Mystery Science Theater 3000: The Movie,1996,tt0117128
110,Operation Dumbo Drop,1995,tt0114048
111,The Truth About Cats & Dogs,1996,tt0117979
112,Flipper,1996,tt0116322
113,The Horseman on the Roof,1995,tt0113362
114,Wallace & Gromit: The Best of Aardman Animation,1996,
115,The Haunted World of Edward D. Wood Jr.,1995,tt0113270
116,Cold Comfort Farm,1995,
117,The Rock,1996,tt0117500
118,Twister,1996,tt0117998
119,Maya Lin: A Strong Clear Vision,1994,tt0110480
120,Striptease,1996,tt0117765
121,Independence Day,1996,tt0116629
122,The Cable Guy,1996,tt0115798
123,The Frighteners,1996,tt0116365
124,Lone Star,1996,tt0116905
125,Phenomenon,1996,tt0117333
126,The Spitfire Grill,1996,tt0117718
127,The Godfather,1972,tt0068646
128,Supercop,1992,tt0104558
129,Bound,1996,tt0115736
130,Kansas City,1996,tt0116745
131,Breakfast at Tiffany's,1961,tt0054698
132,The Wizard of Oz,1939,tt0032138
133,Gone with the Wind,1939,tt0031381
134,Citizen Kane,1941,tt0033467
135,2001: A Space Odyssey,1968,tt0062622
136,Mr. Smith Goes to Washington,1939,tt0031679
137,Big Night,1996,tt0115678
138,D3: The Mighty Ducks,1996,tt0116000
139,The Love Bug,1969,
140,Homeward Bound: The Incredible Journey,1993,tt0107131
141,"20,000 Leagues Under the Sea",1954,tt0046672
142,Bedknobs and Broomsticks,1971,tt0066817
143,The Sound of Music,1965,tt0059742
144,Die Hard,1988,tt0095016
145,The Lawnmower Man,1992,tt0104692
146,Unhook the Stars,1996,tt0118044
147,The Long Kiss Goodnight,1996,tt0116908
148,The Ghost and the Darkness,1996,tt0116409
149,Jude,1996,tt0116722
150,Swingers,1996,tt0117802
151,Willy Wonka and the Chocolate Factory,1971,
152,Sleeper,1973,tt0070707
153,A Fish Called Wanda,1988,tt0095159
154,Monty Python's Life of Brian,1979,tt0079470
155,Dirty Dancing,1987,tt0092890
156,Reservoir Dogs,1992,tt0105236
157,Platoon,1986,tt0091763
158,Weekend at Bernie's,1989,tt0098627
159,Basic Instinct,1992,tt0103772
160,Glengarry Glen Ross,1992,tt0104348
161,Top Gun,1986,tt0092099
162,On Golden Pond,1981,tt0082846
163,The Return of the Pink Panther,1974,
164,The Abyss,1989,tt0096754
165,Jean de Florette,1986,tt0091288
166,Manon of the Spring,1986,tt0091480
167,Private Benjamin,1980,tt0081375
168,Monty Python and the Holy Grail,1974,
169,The Wrong Trousers,1993,tt0108598
170,Cinema Paradiso,1988,tt0095765
171,Delicatessen,1991,tt0101700
172,The Empire Strikes Back,1980,
173,The Princess Bride,1987,tt0093779
174,Raiders of the Lost Ark,1981,tt0082971
175,Brazil,1985,tt0088846
176,Aliens,1986,tt0090605
177,"The Bad and The Ugly, The Good",1966,
178,12 Angry Men,1957,tt0050083
179,A Clockwork Orange,1971,tt0066921
180,Apocalypse Now,1979,tt0078788
181,Return of the Jedi,1983,
182,GoodFellas,1990,
183,Alien,1979,tt0078748
184,Army of Darkness,1993,
185,Psycho,1960,tt0054215
186,The Blues Brothers,1980,tt0080455
187,The Godfather: Part II,1974,tt0071562
188,Full Metal Jacket,1987,tt0093058
189,A Grand Day Out,1992,
190,Henry V,1989,tt0097499
191,Amadeus,1984,tt0086879
192,Raging Bull,1980,tt0081398
193,The Right Stuff,1983,tt0086197
194,The Sting,1973,tt0070735
195,The Terminator,1984,tt0088247
196,Dead Poets Society,1989,tt0097165
197,The Graduate,1967,tt0061722
198,Nikita,1990,tt0100263
199,The Bridge on the River Kwai,1957,tt0050212
200,The Shining,1980,tt0081505
201,Evil Dead II,1987,tt0092991
202,Groundhog Day,1993,tt0107048
203,Unforgiven,1992,tt0105695
204,Back to the Future,1985,tt0088763
205,Patton,1970,tt0066206
206,Akira,1988,tt0094625
207,Cyrano de Bergerac,1990,tt0099334
208,Young Frankenstein,1974,tt0072431
209,This Is Spinal Tap,1984,tt0088258
210,Indiana Jones and the Last Crusade,1989,tt0097576
211,M*A*S*H,1970,tt0066026
212,The Unbearable Lightness of Being,1988,tt0096332
213,A Room with a View,1986,
214,Pink Floyd - The Wall,1982,
215,Field of Dreams,1989,tt0097351
216,When Harry Met Sally...,1989,tt0098635
217,Bram Stoker's Dracula,1992,
218,Cape Fear,1991,tt0101540
219,A Nightmare on Elm Street,1984,tt0087800
220,The Mirror Has Two Faces,1996,tt0117057
221,Breaking the Waves,1996,tt0115751
222,Star Trek: First Contact,1996,tt0117731
223,Sling Blade,1996,tt0117666
224,Ridicule,1996,tt0117477
225,101 Dalmatians,1996,tt0115433
226,Die Hard 2,1990,tt0099423
227,Star Trek VI: The Undiscovered Country,1991,tt0102975
228,Star Trek: The Wrath of Khan,1982,
229,Star Trek III: The Search for Spock,1984,tt0088170
230,Star Trek IV: The Voyage Home,1986,tt0092007
231,Batman Returns,1992,tt0103776
232,Young Guns,1988,tt0096487
233,Under Siege,1992,tt0105690
234,Jaws,1975,tt0073195
235,Mars Attacks!,1996,tt0116996
236,Citizen Ruth,1996,tt0115906
237,Jerry Maguire,1996,tt0116695
238,Raising Arizona,1987,tt0093822
239,Sneakers,1992,tt0105435
240,Beavis and Butt-head Do America,1996,
241,The Last of the Mohicans,1992,tt0104691
242,Kolya,1996,tt0116790
243,Jungle2Jungle,1997,
244,Smilla's Sense of Snow,1997,tt0120152
245,The Devil's Own,1997,tt0118972
246,Chasing Amy,1997,tt0118842
247,Turbo: A Power Rangers Movie,1997,tt0120389
248,Grosse Pointe Blank,1997,tt0119229
249,Austin Powers: International Man of Mystery,1997,tt0118655
250,The Fifth Element,1997,tt0119116
251,Shall We Dance?,1996,tt0117615
252,The Lost World: Jurassic Park,1997,tt0119567
253,The Pillow Book,1995,
254,Batman & Robin,1997,tt0118688
255,My Best Friend's Wedding,1997,tt0119738
256,When the Cats Away,1996,
257,Men in Black,1997,tt0119654
258,Contact,1997,tt0118884
259,George of the Jungle,1997,tt0119190
260,Event Horizon,1997,tt0119081
261,Air Bud,1997,tt0118570
262,In the Company of Men,1997,tt0119361
263,Steel,1997,tt0120207
264,Mimic,1997,tt0119675
265,The Hunt for Red October,1990,tt0099810
266,Kull the Conqueror,1997,tt0119484
267,,,
268,Chasing Amy,1997,tt0118842
269,The Full Monty,1997,tt0119164
270,Gattaca,1997,tt0119177
271,Starship Troopers,1997,tt0120201
272,Good Will Hunting,1997,tt0119217
273,Heat,1995,tt0113277
274,Sabrina,1995,tt0114319
275,Sense and Sensibility,1995,tt0114388
276,Leaving Las Vegas,1995,tt0113627
277,Restoration,1995,tt0114272
278,Bed of Roses,1996,tt0115644
279,Once Upon a Time... When We Were Colored,1995,tt0114039
280,Up Close and Personal,1996,
281,The River Wild,1994,tt0110997
282,A Time to Kill,1996,tt0117913
283,Emma,1996,tt0116191
284,Tin Cup,1996,tt0117918
285,Secrets & Lies,1996,tt0117589
286,The English Patient,1996,tt0116209
287,Marvin's Room,1996,tt0116999
288,Scream,1996,tt0117571
289,Evita,1996,tt0116250
290,Fierce Creatures,1997,tt0119115
291,Absolute Power,1997,tt0118548
292,Rosewood,1997,tt0120036
293,Donnie Brasco,1997,tt0119008
294,Liar Liar,1997,tt0119528
295,Breakdown,1997,tt0118771
296,La Promesse,1996,
297,Ulee's Gold,1997,tt0120402
298,Face/Off,1997,tt0119094
299,Hoodlum,1997,tt0119311
300,Air Force One,1997,tt0118571
301,In & Out,1997,tt0119360
302,L.A. Confidential,1997,tt0119488
303,Ulee's Gold,1997,tt0120402
304,Fly Away Home,1996,tt0116329
305,The Ice Storm,1997,tt0119349
306,Mrs. Brown,1997,tt0119280
307,The Devil's Advocate,1997,tt0118971
308,FairyTale: A True Story,1997,tt0119095
309,Deceiver,1997,tt0119527
310,The Rainmaker,1997,tt0119978
311,The Wings of the Dove,1997,tt0120520
312,Midnight in the Garden of Good and Evil,1997,tt0119668
313,Titanic,1997,tt0120338
314,3 Ninjas: High Noon At Mega Mountain,1998,
315,Apt Pupil,1998,tt0118636
316,As Good As It Gets,1997,
317,In the Name of the Father,1993,tt0107207
318,Schindler's List,1993,tt0108052
319,Everyone Says I Love You,1996,tt0116242
320,Paradise Lost: The Child Murders at Robin Hood Hills,1996,tt0117293
321,Mother,1996,tt0117091
322,Murder at 1600,1997,tt0119731
323,Dante's Peak,1997,tt0118928
324,Lost Highway,1997,tt0116922
325,Crash,1996,tt0115964
326,G.I. Jane,1997,tt0119173
327,Cop Land,1997,tt0118887
328,Conspiracy Theory,1997,tt0118883
329,Desperate Measures,1998,tt0118966
330,187,1997,
331,The Edge,1997,tt0119051
332,Kiss the Girls,1997,tt0119468
333,The Game,1997,tt0119174
334,U Turn,1997,tt0120399
335,How to Be a Player,1997,tt0119326
336,Playing God,1997,tt0119906
337,The House of Yes,1997,tt0119324
338,Bean,1997,tt0118689
339,Mad City,1997,tt0119592
340,Boogie Nights,1997,tt0118749
341,Critical Care,1997,tt0118901
342,The Man Who Knew Too Little,1997,tt0120483
343,Alien: Resurrection,1997,tt0118583
344,The Apostle,1997,tt0118632
345,Deconstructing Harry,1997,tt0118954
346,Jackie Brown,1997,tt0119396
347,Wag the Dog,1997,tt0120885
348,Desperate Measures,1998,tt0118966
349,Hard Rain,1998,tt0120696
350,Fallen,1998,tt0119099
351,The Prophecy II,1998,
352,Spice World,1997,tt0120185
353,Deep Rising,1998,tt0118956
354,The Wedding Singer,1998,tt0120888
355,Sphere,1998,tt0120184
356,The Client,1994,tt0109446
357,One Flew Over the Cuckoo's Nest,1975,tt0073486
358,Spawn,1997,tt0120177
359,The Assignment,1997,tt0118647
360,Wonderland,1997,tt0120529
361,Incognito,1997,tt0119365
362,Blues Brothers 2000,1998,tt0118747
363,Sudden Death,1995,tt0114576
364,Ace Ventura: When Nature Calls,1995,tt0112281
365,Powder,1995,tt0114168
366,Dangerous Minds,1995,tt0112792
367,Clueless,1995,tt0112697
368,Bio-Dome,1996,tt0115683
369,Black Sheep,1996,tt0115697
370,Mary Reilly,1996,tt0117002
371,The Bridges of Madison County,1995,tt0112579
372,Jeffrey,1995,tt0113464
373,Judge Dredd,1995,tt0113492
374,Mighty Morphin Power Rangers: The Movie,1995,tt0113820
375,Showgirls,1995,tt0114436
376,Houseguest,1994,
377,Heavyweights,1994,
378,Miracle on 34th Street,1994,tt0110527
379,Tales From the Crypt Presents: Demon Knight,1995,
380,Star Trek: Generations,1994,tt0111280
381,Muriel's Wedding,1994,tt0110598
382,"Queen of the Desert, The Adventures of Priscilla",1994,
383,The Flintstones,1994,tt0109813
384,Naked Gun 33 1/3: The Final Insult,1994,tt0110622
385,True Lies,1994,tt0111503
386,Addams Family Values,1993,tt0106220
387,The Age of Innocence,1993,tt0106226
388,Beverly Hills Cop III,1994,tt0109254
389,Black Beauty,1994,tt0109279
390,Fear of a Black Hat,1993,tt0106880
391,Last Action Hero,1993,tt0107362
392,The Man Without a Face,1993,tt0107501
393,Mrs. Doubtfire,1993,tt0107614
394,Radioland Murders,1994,tt0110939
395,Robin Hood: Men in Tights,1993,tt0107977
396,Serial Mom,1994,tt0111127
397,Striking Distance,1993,tt0108238
398,Super Mario Bros.,1993,tt0108255
399,The Three Musketeers,1993,tt0108333
400,The Little Rascals,1994,tt0110366
401,The Brady Bunch Movie,1995,tt0112572
402,Ghost,1990,tt0099653
403,Batman,1989,tt0096895
404,Pinocchio,1940,tt0032910
405,Mission: Impossible,1996,tt0117060
406,Thinner,1996,tt0117894
407,Spy Hard,1996,tt0117723
408,A Close Shave,1995,tt0112691
409,Jack,1996,tt0116669
410,Kingpin,1996,tt0116778
411,The Nutty Professor,1996,tt0117218
412,A Very Brady Sequel,1996,tt0118073
413,Tales from the Crypt Presents: Bordello of Blood,1996,
414,My Favorite Year,1982,tt0084370
415,The Apple Dumpling Gang,1975,tt0072653
416,Old Yeller,1957,tt0050798
417,The Parent Trap,1961,tt0055277
418,Cinderella,1950,tt0042332
419,Mary Poppins,1964,tt0058331
420,Alice in Wonderland,1951,tt0043274
421,William Shakespeare's Romeo and Juliet,1996,
422,Aladdin and the King of Thieves,1996,
423,E.T. the Extra-Terrestrial,1982,tt0083866
424,Children of the Corn: The Gathering,1996,
425,Bob Roberts,1992,tt0103850
426,The Transformers: The Movie,1986,tt0092106
427,To Kill a Mockingbird,1962,tt0056592
428,Harold and Maude,1971,tt0067185
429,The Day the Earth Stood Still,1951,tt0043456
430,Duck Soup,1933,tt0023969
431,Highlander,1986,tt0091203
432,Fantasia,1940,tt0032455
433,Heathers,1989,
434,Forbidden Planet,1956,tt0049223
435,Butch Cassidy and the Sundance Kid,1969,tt0064115
436,An American Werewolf in London,1981,tt0082010
437,Amityville 1992: It's About Time,1992,
438,Amityville 3-D,1983,tt0085159
439,Amityville: A New Generation,1993,
440,Amityville II: The Possession,1982,tt0083550
441,The Amityville Horror,1979,tt0078767
442,The Amityville Curse,1990,
443,The Birds,1963,tt0056869
444,The Blob,1958,tt0051418
445,The Body Snatcher,1945,tt0037549
446,Burnt Offerings,1976,tt0074258
447,Carrie,1976,tt0074285
448,The Omen,1976,tt0075005
449,Star Trek: The Motion Picture,1979,tt0079945
450,Star Trek V: The Final Frontier,1989,tt0098382
451,Grease,1978,tt0077631
452,Jaws 2,1978,tt0077766
453,Jaws 3-D,1983,tt0085750
454,Bastard Out of Carolina,1996,tt0115633
455,Jackie Chan's First Strike,1996,
456,Beverly Hills Ninja,1997,tt0118708
457,Free Willy 3: The Rescue,1997,tt0119152
458,Nixon,1995,tt0113987
459,the Beloved Country Cry,1995,
460,The Crossing Guard,1995,tt0112744
461,Smoke,1995,tt0114478
462,Like Water For Chocolate,1992,
463,The Secret of Roan Inish,1994,tt0111112
464,Vanya on 42nd Street,1994,tt0111590
465,The Jungle Book,1994,tt0110213
466,Red Rock West,1992,
467,A Bronx Tale,1993,tt0106489
468,Rudy,1993,tt0108002
469,Short Cuts,1993,tt0108122
470,Tombstone,1993,tt0108358
471,Courage Under Fire,1996,tt0115956
472,Dragonheart,1996,
473,James and the Giant Peach,1996,tt0116683
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1963,
475,Trainspotting,1996,tt0117951
476,The First Wives Club,1996,tt0116313
477,Matilda,1996,tt0117008
478,The Philadelphia Story,1940,tt0032904
479,Vertigo,1958,tt0052357
480,North by Northwest,1959,tt0053125
481,The Apartment,1960,tt0053604
482,Some Like It Hot,1959,tt0053291
483,Casablanca,1942,tt0034583
484,The Maltese Falcon,1941,tt0033870
485,My Fair Lady,1964,tt0058385
486,Sabrina,1954,tt0047437
487,Roman Holiday,1953,tt0046250
488,Sunset Blvd.,1950,tt0043014
489,Notorious,1946,tt0038787
490,To Catch a Thief,1955,tt0048728
491,The Adventures of Robin Hood,1938,tt0029843
492,East of Eden,1955,tt0048028
493,The Thin Man,1934,tt0025878
494,His Girl Friday,1940,tt0032599
495,Around the World in 80 Days,1956,tt0048960
496,It's a Wonderful Life,1946,tt0038650
497,Bringing Up Baby,1938,tt0029947
498,The African Queen,1951,tt0043265
499,Cat on a Hot Tin Roof,1958,tt0051459
500,Fly Away Home,1996,tt0116329
501,Dumbo,1941,tt0033563
502,Bananas,1971,tt0066808
503,The Candidate,1972,tt0068334
504,Bonnie and Clyde,1967,tt0061418
505,Dial M for Murder,1954,tt0046912
506,Rebel Without a Cause,1955,tt0048545
507,A Streetcar Named Desire,1951,tt0044081
508,The People vs. Larry Flynt,1996,tt0117318
509,My Left Foot,1989,tt0097937
510,The Magnificent Seven,1954,
511,Lawrence of Arabia,1962,tt0056172
512,Wings of Desire,1987,tt0093191
513,The Third Man,1949,tt0041959
514,Annie Hall,1977,tt0075686
515,Das Boot,1981,tt0082096
516,Local Hero,1983,tt0085859
517,Manhattan,1979,tt0079522
518,Miller's Crossing,1990,tt0100150
519,The Treasure of the Sierra Madre,1948,tt0040897
520,The Great Escape,1963,tt0057115
521,The Deer Hunter,1978,tt0077416
522,Down by Law,1986,tt0090967
523,Cool Hand Luke,1967,tt0061512
524,The Great Dictator,1940,tt0032553
525,The Big Sleep,1946,tt0038355
526,Ben-Hur,1959,tt0052618
527,Gandhi,1982,tt0083987
528,The Killing Fields,1984,tt0087553
529,My Life as a Dog,1985,tt0089606
530,The Man Who Would Be King,1975,tt0073341
531,Shine,1996,tt0117631
532,Kama Sutra: A Tale of Love,1996,tt0116743
533,The Daytrippers,1996,tt0116041
534,Traveller,1997,tt0120366
535,Addicted to Love,1997,tt0118556
536,Ponette,1996,tt0117359
537,My Own Private Idaho,1991,tt0102494
538,Anastasia,1997,tt0118617
539,Mouse Hunt,1997,
540,Money Train,1995,tt0113845
541,Mortal Kombat,1995,tt0113855
542,Pocahontas,1995,tt0114148
543,Les Misérables,1995,
544,Things to Do in Denver when You're Dead,1995,
545,Vampire in Brooklyn,1995,tt0114825
546,Broken Arrow,1996,tt0115759
547,The Young Poisoner's Handbook,1995,tt0115033
548,The NeverEnding Story III,1994,tt0110647
549,Rob Roy,1995,tt0114287
550,Die Hard: With a Vengeance,1995,tt0112864
551,Lord of Illusions,1995,tt0113690
552,Species,1995,tt0114508
553,A Walk in the Clouds,1995,tt0114887
554,Waterworld,1995,tt0114898
555,White Man's Burden,1995,tt0114928
556,Wild Bill,1995,tt0114938
557,Farinelli: il castrato,1994,
558,Heavenly Creatures,1994,tt0110005
559,Interview with the Vampire,1994,
560,A Kid in King Arthur's Court,1995,tt0113538
561,Mary Shelley's Frankenstein,1994,tt0109836
562,The Quick and the Dead,1995,tt0114214
563,Stephen King's The Langoliers,1995,
564,Tales from the Hood,1995,tt0114609
565,Village of the Damned,1995,tt0114852
566,Clear and Present Danger,1994,tt0109444
567,Wes Craven's New Nightmare,1994,tt0111686
568,Speed,1994,tt0111257
569,Wolf,1994,tt0111742
570,Wyatt Earp,1994,tt0111756
571,Another Stakeout,1993,tt0106292
572,Blown Away,1994,tt0109303
573,Body Snatchers,1993,tt0106452
574,Boxing Helena,1993,tt0106471
575,City Slickers II: The Legend of Curly's Gold,1994,tt0109439
576,Cliffhanger,1993,tt0106582
577,Coneheads,1993,tt0106598
578,Demolition Man,1993,tt0106697
579,Fatal Instinct,1993,tt0106873
580,"But Came Down a Mountain, The Englishman Who Went Up a Hill",1995,
581,Kalifornia,1993,tt0107302
582,The Piano,1993,tt0107822
583,Romeo Is Bleeding,1993,tt0107983
584,The Secret Garden,1993,tt0108071
585,Son in Law,1993,tt0108186
586,Terminal Velocity,1994,tt0111400
587,The Hour of the Pig,1993,tt0107146
588,Beauty and the Beast,1991,tt0101414
589,The Wild Bunch,1969,tt0065214
590,Hellraiser: Bloodline,1996,tt0116514
591,Primal Fear,1996,tt0117381
592,True Crime,1995,
593,Stalingrad,1993,tt0108211
594,Heavy,1995,tt0113280
595,The Fan,1996,tt0116277
596,The Hunchback of Notre Dame,1996,tt0116583
597,Eraser,1996,tt0116213
598,The Big Squeeze,1996,tt0115680
599,Police Story 4: Project S,1993,
600,Daniel Defoe's Robinson Crusoe,1996,
601,For Whom the Bell Tolls,1943,tt0035896
602,An American in Paris,1951,tt0043278
603,Rear Window,1954,tt0047396
604,It Happened One Night,1934,tt0025316
605,Meet Me in St. Louis,1944,tt0037059
606,All About Eve,1950,tt0042192
607,Rebecca,1940,tt0032976
608,Spellbound,1945,tt0038109
609,Father of the Bride,1950,tt0042451
610,Gigi,1958,tt0051658
611,Laura,1944,tt0037008
612,Lost Horizon,1937,tt0029162
613,My Man Godfrey,1936,tt0028010
614,Giant,1956,tt0049261
615,The 39 Steps,1935,tt0026029
616,Night of the Living Dead,1968,tt0063350
617,The Blue Angel,1930,tt0020697
618,Picnic,1955,tt0048491
619,Extreme Measures,1996,tt0116259
620,The Chamber,1996,tt0115862
621,King of the Wild Frontier Davy Crockett,1955,
622,Swiss Family Robinson,1960,tt0054357
623,Angels in the Outfield,1994,tt0109127
624,The Three Caballeros,1945,
625,The Sword in the Stone,1963,tt0057546
626,So Dear to My Heart,1949,
627,Robin Hood: Prince of Thieves,1991,tt0102798
628,Sleepers,1996,tt0117665
629,Victor/Victoria,1982,
630,The Great Race,1965,tt0059243
631,The Crying Game,1992,tt0104036
632,Sophie's Choice,1982,tt0084707
633,A Christmas Carol,1938,tt0029992
634,Microcosmos: Le peuple de l'herbe,1996,tt0117040
635,The Fog,1980,tt0080749
636,Escape from New York,1981,tt0082340
637,The Howling,1981,tt0082533
638,The Return of Martin Guerre,1982,tt0084589
639,The Tin Drum,1979,tt0078875
640,The Cook the Thief His Wife & Her Lover,1989,
641,Paths of Glory,1957,tt0050825
642,The Grifters,1990,tt0099703
643,The Innocent,1994,
644,The Thin Blue Line,1988,tt0096257
645,Paris Is Burning,1990,tt0100332
646,Once Upon a Time in the West,1969,
647,Ran,1985,tt0089881
648,The Quiet Man,1952,tt0045061
649,Once Upon a Time in America,1984,tt0087843
650,The Seventh Seal,1957,tt0050976
651,Glory,1989,tt0097441
652,Rosencrantz and Guildenstern Are Dead,1990,
653,Touch of Evil,1958,tt0052311
654,Chinatown,1974,tt0071315
655,Stand by Me,1986,tt0092005
656,M,1931,tt0022100
657,The Manchurian Candidate,1962,tt0056218
658,Pump Up the Volume,1990,tt0100436
659,Arsenic and Old Lace,1944,
660,Fried Green Tomatoes,1991,tt0101921
661,High Noon,1952,tt0044706
662,Somewhere in Time,1980,tt0081534
663,Being There,1979,tt0078841
664,Texas Paris,1984,
665,Alien 3,1992,tt0103644
666,Blood For Dracula,1974,
667,Audrey Rose,1977,tt0075704
668,Blood Beach,1981,
669,Body Parts,1991,tt0101492
670,Body Snatchers,1993,tt0106452
671,Bride of Frankenstein,1935,tt0026138
672,Candyman,1992,tt0103919
673,Cape Fear,1962,tt0055824
674,Cat People,1982,tt0083722
675,Nosferatu,1922,tt0013442
676,The Crucible,1996,tt0115988
677,Fire on the Mountain,1996,tt0116310
678,Volcano,1997,tt0120461
679,Conan the Barbarian,1981,
680,Kull the Conqueror,1997,tt0119484
681,Wishmaster,1997,tt0120524
682,I Know What You Did Last Summer,1997,tt0119345
683,Rocket Man,1997,
684,In the Line of Fire,1993,tt0107206
685,Executive Decision,1996,tt0116253
686,A Perfect World,1993,tt0107808
687,McHale's Navy,1997,tt0119640
688,Leave It to Beaver,1997,tt0119509
689,The Jackal,1997,tt0119395
690,Seven Years in Tibet,1997,tt0120102
691,Dark City,1998,tt0118929
692,The American President,1995,tt0112346
693,Casino,1995,tt0112641
694,Persuasion,1995,tt11333812
695,Kicking and Screaming,1995,tt0113537
696,City Hall,1996,tt0115907
697,The Basketball Diaries,1995,tt0112461
698,The Browning Version,1994,tt0109340
699,Little Women,1994,tt0110367
700,Miami Rhapsody,1995,tt0113808
701,"Horrible Life of Leni Riefenstahl, The Wonderful",1993,
702,Barcelona,1994,tt0109219
703,Widows' Peak,1994,tt0111712
704,The House of the Spirits,1993,tt0107151
705,Singin' in the Rain,1952,tt0045152
706,Bad Moon,1996,tt0115610
707,Enchanted April,1991,tt0101811
708,"Lies, and Videotape Sex",1989,
709,Strictly Ballroom,1992,tt0105488
710,Better Off Dead...,1985,tt0088794
711,The Substance of Fire,1996,tt0117773
712,Tin Men,1987,tt0094155
713,Othello,1995,tt0114057
714,Carrington,1995,tt0112637
715,To Die For,1995,tt0114681
716,Home for the Holidays,1995,tt0113321
717,The Juror,1996,tt0116731
718,In the Bleak Midwinter,1995,tt0113403
719,Canadian Bacon,1994,
720,First Knight,1995,tt0113071
721,Mallrats,1995,tt0113749
722,Nine Months,1995,tt0113986
723,Boys on the Side,1995,tt0112571
724,Circle of Friends,1995,tt0112679
725,Exit to Eden,1994,tt0109758
