,title,title2,release_year,release_date,video_release_date,unknown,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,FilmNoir,Horror,Musical,Mystery,Romance,SciFi,Thriller,War,Western,imdb_id
27,Bad Boys (1995),Bad Boys,1995,01-Jan-1995,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0112442
28,Apollo 13 (1995),Apollo 13,1995,01-Jan-1995,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,tt0112384
29,Batman Forever (1995),Batman Forever,1995,01-Jan-1995,,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,tt0112462
30,Belle de jour (1967),Belle de jour,1967,01-Jan-1967,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0061395
31,Crimson Tide (1995),Crimson Tide,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,tt0112740
32,Crumb (1994),Crumb,1994,01-Jan-1994,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,tt0109508
33,Desperado (1995),Desperado,1995,01-Jan-1995,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,tt0112851
34,"Doom Generation, The (1995)",The Doom Generation,1995,01-Jan-1995,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0112887
35,Free Willy 2: The Adventure Home (1995),Free Willy 2: The Adventure Home,1995,01-Jan-1995,,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0113114
36,Mad Love (1995),Mad Love,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,tt0113729
37,Nadja (1994),Nadja,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0110620
38,"Net, The (1995)",The Net,1995,01-Jan-1995,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,tt0113957
39,Strange Days (1995),Strange Days,1995,01-Jan-1995,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,tt0114558
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Thanks for Everything! Julie Newmar To Wong Foo,1995,01-Jan-1995,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0114682
41,Billy Madison (1995),Billy Madison,1995,01-Jan-1995,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0112508
42,Clerks (1994),Clerks,1994,01-Jan-1994,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0109445
43,Disclosure (1994),Disclosure,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,tt0109635
44,Dolores Claiborne (1994),Dolores Claiborne,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,tt0109642
45,Eat Drink Man Woman (1994),Eat Drink Man Woman,1994,01-Jan-1994,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0111797
46,Exotica (1994),Exotica,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0109759
47,Ed Wood (1994),Ed Wood,1994,01-Jan-1994,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0109707
48,Hoop Dreams (1994),Hoop Dreams,1994,01-Jan-1994,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,tt0110057
49,I.Q. (1994),I.Q.,1994,01-Jan-1994,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0110099
50,Star Wars (1977),Star Wars,1977,01-Jan-1977,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,tt6855750
51,Legends of the Fall (1994),Legends of the Fall,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,tt0110322
52,"Madness of King George, The (1994)",The Madness of King George,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0110428
53,Natural Born Killers (1994),Natural Born Killers,1994,01-Jan-1994,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,tt0110632
54,Outbreak (1995),Outbreak,1995,01-Jan-1995,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,tt0114069
55,"Professional, The (1994)",The Professional,1994,01-Jan-1994,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,tt0111942
56,Pulp Fiction (1994),Pulp Fiction,1994,01-Jan-1994,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,tt0110912
57,Priest (1994),Priest,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0110889
58,Quiz Show (1994),Quiz Show,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0110932
59,Three Colors: Red (1994),Three Colors: Red,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0111495
60,Three Colors: Blue (1993),Three Colors: Blue,1993,01-Jan-1993,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0108394
61,Three Colors: White (1994),Three Colors: White,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0111507
62,Stargate (1994),Stargate,1994,01-Jan-1994,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,tt0111282
63,"Santa Clause, The (1994)",The Santa Clause,1994,01-Jan-1994,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt5267640
64,"Shawshank Redemption, The (1994)",The Shawshank Redemption,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0111161
65,What's Eating Gilbert Grape (1993),What's Eating Gilbert Grape,1993,01-Jan-1993,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0108550
66,While You Were Sleeping (1995),While You Were Sleeping,1995,01-Jan-1995,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0114924
67,Ace Ventura: Pet Detective (1994),Ace Ventura: Pet Detective,1994,01-Jan-1994,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0109040
68,"Crow, The (1994)",The Crow,1994,01-Jan-1994,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,tt6819318
69,Forrest Gump (1994),Forrest Gump,1994,01-Jan-1994,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,tt0109830
70,Four Weddings and a Funeral (1994),Four Weddings and a Funeral,1994,01-Jan-1994,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0109831
71,"Lion King, The (1994)",The Lion King,1994,01-Jan-1994,,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt0110357
72,"Mask, The (1994)",The Mask,1994,01-Jan-1994,,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,tt0110912
73,Maverick (1994),Maverick,1994,01-Jan-1994,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,tt0110478
74,Faster Pussycat! Kill! Kill! (1965),Faster Pussycat! Kill! Kill!,1965,01-Jan-1965,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0059170
75,Brother Minister: The Assassination of Malcolm X (1994),Brother Minister: The Assassination of Malcolm X,1994,01-Jan-1994,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,tt0109339
76,Carlito's Way (1993),Carlito's Way,1993,01-Jan-1993,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,tt0106519
77,"Firm, The (1993)",The Firm,1993,01-Jan-1993,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,tt0106918
78,Free Willy (1993),Free Willy,1993,01-Jan-1993,,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0106965
79,"Fugitive, The (1993)",The Fugitive,1993,01-Jan-1993,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,tt0106977
80,Hot Shots! Part Deux (1993),Hot Shots! Part Deux,1993,01-Jan-1993,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,tt0107144
81,"Hudsucker Proxy, The (1994)",The Hudsucker Proxy,1994,01-Jan-1994,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0476515
82,Jurassic Park (1993),Jurassic Park,1993,01-Jan-1993,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,tt0107290
83,Much Ado About Nothing (1993),Much Ado About Nothing,1993,01-Jan-1993,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0107616
84,Robert A. Heinlein's The Puppet Masters (1994),Robert A. Heinlein's The Puppet Masters,1994,01-Jan-1994,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,tt0111003
85,"Ref, The (1994)",The Ref,1994,01-Jan-1994,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0110955
86,"Remains of the Day, The (1993)",The Remains of the Day,1993,01-Jan-1993,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0452387
87,Searching for Bobby Fischer (1993),Searching for Bobby Fischer,1993,01-Jan-1993,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0108065
88,Sleepless in Seattle (1993),Sleepless in Seattle,1993,01-Jan-1993,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0108160
89,Blade Runner (1982),Blade Runner,1982,01-Jan-1982,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,tt0083658
90,So I Married an Axe Murderer (1993),So I Married an Axe Murderer,1993,01-Jan-1993,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,tt0108174
91,"Nightmare Before Christmas, The (1993)",The Nightmare Before Christmas,1993,01-Jan-1993,,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,tt0107688
92,True Romance (1993),True Romance,1993,01-Jan-1993,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,tt0108399
93,Welcome to the Dollhouse (1995),Welcome to the Dollhouse,1995,24-May-1996,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0114906
94,Home Alone (1990),Home Alone,1990,01-Jan-1990,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0099785
95,Aladdin (1992),Aladdin,1992,01-Jan-1992,,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,tt0103639
96,Terminator 2: Judgment Day (1991),Terminator 2: Judgment Day,1991,01-Jan-1991,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,tt0244839
97,Dances with Wolves (1990),Dances with Wolves,1990,01-Jan-1990,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,tt0099348
98,"Silence of the Lambs, The (1991)",The Silence of the Lambs,1991,01-Jan-1991,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,tt3645740
99,Snow White and the Seven Dwarfs (1937),Snow White and the Seven Dwarfs,1937,01-Jan-1937,,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt0029583
100,Fargo (1996),Fargo,1996,14-Feb-1997,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,tt0116282
101,Heavy Metal (1981),Heavy Metal,1981,08-Mar-1981,,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,tt0082509
102,"Aristocats, The (1970)",The Aristocats,1970,01-Jan-1970,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0065421
103,All Dogs Go to Heaven 2 (1996),All Dogs Go to Heaven 2,1996,29-Mar-1996,,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt0115509
104,Theodore Rex (1995),Theodore Rex,1995,29-Mar-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0114658
105,Sgt. Bilko (1996),Sgt. Bilko,1996,29-Mar-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0117608
106,Diabolique (1996),Diabolique,1996,01-Jan-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,tt0116095
107,Moll Flanders (1996),Moll Flanders,1996,14-Jun-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0117071
108,Kids in the Hall: Brain Candy (1996),Kids in the Hall: Brain Candy,1996,12-Apr-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0116768
109,Mystery Science Theater 3000: The Movie (1996),Mystery Science Theater 3000: The Movie,1996,19-Apr-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,tt0117128
110,Operation Dumbo Drop (1995),Operation Dumbo Drop,1995,01-Jan-1995,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,tt0114048
111,"Truth About Cats & Dogs, The (1996)",The Truth About Cats & Dogs,1996,26-Apr-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0117979
112,Flipper (1996),Flipper,1996,10-May-1996,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0116322
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",The Horseman on the Roof,1995,19-Apr-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0113362
114,Wallace & Gromit: The Best of Aardman Animation (1996),Wallace & Gromit: The Best of Aardman Animation,1996,05-Apr-1996,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2185063
115,"Haunted World of Edward D. Wood Jr., The (1995)",The Haunted World of Edward D. Wood Jr.,1995,26-Apr-1996,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,tt0113270
116,Cold Comfort Farm (1995),Cold Comfort Farm,1995,23-Apr-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0112701
117,"Rock, The (1996)",The Rock,1996,07-Jun-1996,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,tt0117500
118,Twister (1996),Twister,1996,10-May-1996,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,tt0117998
119,Maya Lin: A Strong Clear Vision (1994),Maya Lin: A Strong Clear Vision,1994,01-Jan-1994,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,tt0110480
120,Striptease (1996),Striptease,1996,28-Jun-1996,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,tt0117765
121,Independence Day (ID4) (1996),Independence Day,1996,03-Jul-1996,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,tt0116629
122,"Cable Guy, The (1996)",The Cable Guy,1996,14-Jun-1996,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0115798
123,"Frighteners, The (1996)",The Frighteners,1996,19-Jul-1996,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,tt6819266
124,Lone Star (1996),Lone Star,1996,21-Jun-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,tt0116905
125,Phenomenon (1996),Phenomenon,1996,29-Jun-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,tt0117333
126,"Spitfire Grill, The (1996)",The Spitfire Grill,1996,06-Sep-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0117718
127,"Godfather, The (1972)",The Godfather,1972,01-Jan-1972,,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,tt0068646
128,Supercop (1992),Supercop,1992,26-Jul-1996,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,tt0104558
129,Bound (1996),Bound,1996,04-Oct-1996,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,tt0115736
130,Kansas City (1996),Kansas City,1996,16-Aug-1996,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,tt0116745
131,Breakfast at Tiffany's (1961),Breakfast at Tiffany's,1961,01-Jan-1961,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,tt0054698
132,"Wizard of Oz, The (1939)",The Wizard of Oz,1939,01-Jan-1939,,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,tt0771801
133,Gone with the Wind (1939),Gone with the Wind,1939,01-Jan-1939,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,tt0031381
134,Citizen Kane (1941),Citizen Kane,1941,01-Jan-1941,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0033467
135,2001: A Space Odyssey (1968),2001: A Space Odyssey,1968,01-Jan-1968,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,tt0062622
136,Mr. Smith Goes to Washington (1939),Mr. Smith Goes to Washington,1939,01-Jan-1939,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0031679
137,Big Night (1996),Big Night,1996,20-Sep-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0115678
138,D3: The Mighty Ducks (1996),D3: The Mighty Ducks,1996,04-Oct-1996,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0116000
139,"Love Bug, The (1969)",The Love Bug,1969,01-Jan-1969,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0064603
140,Homeward Bound: The Incredible Journey (1993),Homeward Bound: The Incredible Journey,1993,01-Jan-1993,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0107131
141,"20,000 Leagues Under the Sea (1954)","20,000 Leagues Under the Sea",1954,01-Jan-1954,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,tt0046672
142,Bedknobs and Broomsticks (1971),Bedknobs and Broomsticks,1971,01-Jan-1971,,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt0066817
143,"Sound of Music, The (1965)",The Sound of Music,1965,01-Jan-1965,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt0059742
144,Die Hard (1988),Die Hard,1988,01-Jan-1988,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,tt0095016
145,"Lawnmower Man, The (1992)",The Lawnmower Man,1992,01-Jan-1992,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,tt0104692
146,Unhook the Stars (1996),Unhook the Stars,1996,30-Oct-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0118044
147,"Long Kiss Goodnight, The (1996)",The Long Kiss Goodnight,1996,05-Oct-1996,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,tt0116908
148,"Ghost and the Darkness, The (1996)",The Ghost and the Darkness,1996,11-Oct-1996,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0116409
149,Jude (1996),Jude,1996,01-Nov-1996,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0116722
150,Swingers (1996),Swingers,1996,18-Oct-1996,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0117802
151,Willy Wonka and the Chocolate Factory (1971),Willy Wonka and the Chocolate Factory,1971,01-Jan-1971,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0067992
152,Sleeper (1973),Sleeper,1973,01-Jan-1973,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,tt0070707
153,"Fish Called Wanda, A (1988)",A Fish Called Wanda,1988,01-Jan-1988,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0095159
154,Monty Python's Life of Brian (1979),Monty Python's Life of Brian,1979,01-Jan-1979,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0079470
155,Dirty Dancing (1987),Dirty Dancing,1987,01-Jan-1987,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,tt0092890
156,Reservoir Dogs (1992),Reservoir Dogs,1992,01-Jan-1992,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,tt0105236
157,Platoon (1986),Platoon,1986,01-Jan-1986,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,tt0091763
158,Weekend at Bernie's (1989),Weekend at Bernie's,1989,01-Jan-1989,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0098627
159,Basic Instinct (1992),Basic Instinct,1992,01-Jan-1992,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,tt0103772
160,Glengarry Glen Ross (1992),Glengarry Glen Ross,1992,01-Jan-1992,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0104348
161,Top Gun (1986),Top Gun,1986,01-Jan-1986,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0092099
162,On Golden Pond (1981),On Golden Pond,1981,01-Jan-1981,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0082846
163,"Return of the Pink Panther, The (1974)",The Return of the Pink Panther,1974,01-Jan-1974,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0072081
164,"Abyss, The (1989)",The Abyss,1989,01-Jan-1989,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,tt0096754
165,Jean de Florette (1986),Jean de Florette,1986,01-Jan-1986,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0091288
166,Manon of the Spring (Manon des sources) (1986),Manon of the Spring,1986,01-Jan-1986,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0091480
167,Private Benjamin (1980),Private Benjamin,1980,01-Jan-1980,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0081375
168,Monty Python and the Holy Grail (1974),Monty Python and the Holy Grail,1974,01-Jan-1974,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0071853
169,"Wrong Trousers, The (1993)",The Wrong Trousers,1993,01-Jan-1993,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0108598
